ingredient_code,std_name_ko,std_name_en,old_name_ko,old_name_en,as_of_date,source,ingest_date,batch_id
24648,치자나무열매,Gardenia Jasminoides Fruit,,,,kcia,2026-03-23,kcia_2026-03-23
24647,갈락토미세스/마테잎추출물발효여과물,,,,,kcia,2026-03-23,kcia_2026-03-23
24646,딸기꽃/줄기/잎,,,,,kcia,2026-03-23,kcia_2026-03-23
24645,마테잎소포,,,,,kcia,2026-03-23,kcia_2026-03-23
24644,매스틱잎세포외소포,Pistacia Lentiscus (Mastic) Leaf Extracellular Vesicles,,,,kcia,2026-03-23,kcia_2026-03-23
24643,확정세포배양액5K,,,,,kcia,2026-03-23,kcia_2026-03-23
24642,버버린클로라이드,Berberine Chloride,633-65-8,,,kcia,2026-03-23,kcia_2026-03-23
24641,아세틸에스에이치-데카펩타이드-30에스피아마이드,Acetyl sh-Decapeptide-30 SP Amide,,,,kcia,2026-03-23,kcia_2026-03-23
24640,올리고펩타이드-305,Oligopeptide-305,,,,kcia,2026-03-23,kcia_2026-03-23
24639,아세틸에스에이치-올리고펩타이드-202에스피아마이드,Acetyl sh-Oligopeptide-202 SP Amide,,,,kcia,2026-03-23,kcia_2026-03-23
24638,살리드로사이드,Salidroside,10338-51-9,,,kcia,2026-03-23,kcia_2026-03-23
24637,락토바실러스/쇠비름발효여과물,,,,,kcia,2026-03-23,kcia_2026-03-23
24636,사탕무뿌리즙소포,Beta Vulgaris (Beet) Root Juice Vesicles,,,,kcia,2026-03-23,kcia_2026-03-23
24635,미선나무잎가루,Abeliophyllum Distichum Leaf Powder,,,,kcia,2026-03-23,kcia_2026-03-23
24634,고구마덩이뿌리수,,,,,kcia,2026-03-23,kcia_2026-03-23
24633,눈개승마뿌리추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24632,병풀수,,,,,kcia,2026-03-23,kcia_2026-03-23
24631,락토바실러스/고구마추출물발효여과물,,,,,kcia,2026-03-23,kcia_2026-03-23
24630,팥배나무가지추출물,Sorbus Alnifolia Branch Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24629,비자나무잎/해당화꽃추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24628,동백나무잎/닥풀꽃추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24627,들깨박추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24626,하이드롤라이즈드들깨박추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24625,배롱나무꽃소포,Lagerstroemia Indica Flower Vesicles,,,,kcia,2026-03-23,kcia_2026-03-23
24624,초피나무열매소포,Zanthoxylum Piperitum Fruit Vesicles,,,,kcia,2026-03-23,kcia_2026-03-23
24623,슈도지마 안타르크티카/산수유열매추출물발효여과물,Pseudozyma Antarctica/Cornus Officinalis Fruit Extract Ferment Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24622,슈도지마 에피콜라/동백나무씨오일발효추출여과물,Pseudozyma Epicola/Camellia Japonica Seed Oil Ferment Extract Filtrate,3069696-26-7,,,kcia,2026-03-23,kcia_2026-03-23
24621,프롤릴하이드록시프롤린,Prolyl Hydroxyproline,,,,kcia,2026-03-23,kcia_2026-03-23
24620,팔미토일에스에이치-헥사펩타이드-13세린에스피아마이드,Palmitoyl sh-Hexapeptide-13 Serine SP Amide,,,,kcia,2026-03-23,kcia_2026-03-23
24619,에스에이치-헥사펩타이드-2,sh-Hexapeptide-2,532-32-1,,,kcia,2026-03-23,kcia_2026-03-23
24618,바실러스/(카프릴릭/카프릭트라이글리세라이드)/티트리추출물발효추출여과물,Bacillus/(Caprylic/Capric Triglyceride)/Melaleuca Alternifolia Extract Ferment Extract Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24617,폴리프로판다이올-4,Polypropanediol-4,2396-61-4 31714-45-1 (generic) 345260-48-2,,,kcia,2026-03-23,kcia_2026-03-23
24616,하이드롤라이즈드참다랑어껍질추출물,Hydrolyzed Tuna Skin Extract,,,,kcia,2026-03-23,kcia_2026-03-23
24615,오징어먹물소포,Squid Ink Vesicles,,,,kcia,2026-03-23,kcia_2026-03-23
24614,비파나무캘러스세포외소포,Eriobotrya Japonica Callus Extracellular Vesicles,,,,kcia,2026-03-23,kcia_2026-03-23
24613,단삼캘러스세포외소포,Salvia Miltiorrhiza Callus Extracellular Vesicles,,,,kcia,2026-03-23,kcia_2026-03-23
24612,자단선인장캘러스추출물,,,,,kcia,2026-03-23,kcia_2026-03-23
24611,에스에이치-폴리펩타이드-170,sh-Polypeptide-170,,,,kcia,2026-03-23,kcia_2026-03-23
24610,망태버섯/장미꽃발효여과물,Dictyophora Indusiata/Rosa Hybrid Flower Ferment Filtrate,,,,kcia,2026-03-23,kcia_2026-03-23
24609,보리밥나무잎수,,,,,kcia,2026-03-23,kcia_2026-03-23
24608,병풀분열조직세포세포외소포,,,,,kcia,2026-03-23,kcia_2026-03-23
24607,카페오일다이펩타이드-17하이드록시프롤린,Caffeoyl Dipeptide-17 Hydroxyproline,,,,kcia,2026-03-23,kcia_2026-03-23
24606,올리고펩타이드-21K,,,,,kcia,2026-03-23,kcia_2026-03-23
24605,아이소스테아라미도에틸아이소스테아릴메틸이미다졸리늄메토설페이트,Isostearamidoethyl Isostearylmethylimidazolinium Methosulfate,94022-92-1,,,kcia,2026-03-23,kcia_2026-03-23
24604,C10-14알킬폴리프로판다이올-3미리스테이트,C10-14 Alkyl Polypropanediol-3 Myristate,2907767-86-4,,,kcia,2026-03-23,kcia_2026-03-23
24603,확정세포배양액4K,,,,,kcia,2026-03-23,kcia_2026-03-23
24602,C15-19아이소알케인,C15-19 Isoalkane,1437281-01-0,,,kcia,2026-03-23,kcia_2026-03-23
24601,병풀프레닐플라보노이드,Centella Asiatica Prenylflavonoids,,,,kcia,2026-03-23,kcia_2026-03-23
24600,서양자두씨가루,Prunus Domestica Seed Powder,,,,kcia,2026-03-23,kcia_2026-03-23
24599,에스알-(데카펩타이드-63에스에이치-폴리펩타이드-148헥사펩타이드-40),sr-(Decapeptide-63 sh-Polypeptide-148 Hexapeptide-40),,,,kcia,2026-03-23,kcia_2026-03-23
24598,자바라열매껍질가루,Citrus Jabara Peel Powder,,,,kcia,2026-03-23,kcia_2026-03-23
24597,쑥부쟁이추출물,Aster Yomena Extract,,,,kcia,2026-03-23,kcia_2026-03-23
