inci_name,kor_name,eng_name,cosing_functions,status,cosmetic_restriction,other_restrictions
FARNESOL,파네솔,Farnesol,DEODORANT;PERFUMING,Active,III/82,ban substances that deplete the ozone layer
CI 77891,티타늄디옥사이드,Titanium Dioxide,COLORANT,Active,IV/143,
TEA-PALMITATE,티이에이-팔미테이트,TEA-Palmitate,CLEANSING;SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,III/62,
TEA-COCOYL HYDROLYZED COLLAGEN,티이에이-코코일하이드롤라이즈드콜라겐,TEA-Cocoyl Hydrolyzed Collagen,ANTISTATIC;CLEANSING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,III/62,
ZIZIPHUS JUJUBA FRUIT EXTRACT,대추추출물,Ziziphus Jujuba Fruit Extract,SKIN CONDITIONING - MISCELLANEOUS,Active,,
TEA-COCOYL SARCOSINATE,티이에이-코코일사코시네이트,TEA-Cocoyl Sarcosinate,CLEANSING;FOAMING;HAIR CONDITIONING;SURFACTANT - CLEANSING,Active,III/62,ban substances that deplete the ozone layer
TEA-COCOYL GLUTAMATE,티이에이-코코일글루타메이트,TEA-Cocoyl Glutamate,CLEANSING;HAIR CONDITIONING;SURFACTANT - CLEANSING,Active,III/62,
TEA-COCOATE,티이에이-코코에이트,TEA-Cocoate,CLEANSING;SURFACTANT - EMULSIFYING;FOAMING;SURFACTANT - CLEANSING,Active,III/62,
TEA-STEARATE,티이에이-스테아레이트,TEA-Stearate,CLEANSING;SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,III/62,ban substances that deplete the ozone layer
TEA-SALICYLATE,티이에이-살리실레이트,TEA-Salicylate,PRESERVATIVE;LIGHT STABILIZER;UV FILTER,Active,V/3,ban substances that deplete the ozone layer
TEA-MYRISTATE,티이에이-미리스테이트,TEA-Myristate,CLEANSING;SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,III/62,
TEA-LACTATE,티이에이-락테이트,TEA-Lactate,HUMECTANT;SKIN CONDITIONING,Active,III/62,
TEA-LAUROYL SARCOSINATE,티이에이-라우로일사코시네이트,TEA-Lauroyl Sarcosinate,ANTISTATIC;CLEANSING;FOAMING;HAIR CONDITIONING;SURFACTANT - CLEANSING,Active,III/62,ban substances that deplete the ozone layer
TEA-LAURATE,티이에이-라우레이트,TEA-Laurate,SURFACTANT - EMULSIFYING;FOAMING;SURFACTANT - CLEANSING,Active,III/62,ban substances that deplete the ozone layer
TEA-LAURETH SULFATE,티이에이-라우레스설페이트,TEA-Laureth Sulfate,CLEANSING;SURFACTANT - EMULSIFYING;FOAMING;SURFACTANT - CLEANSING,Active,III/62,ban substances that deplete the ozone layer
TIOXOLONE,티옥솔론,Tioxolone,ASTRINGENT,Active,,
TBHQ,티비에이치큐,TBHQ,ANTIOXIDANT;FRAGRANCE;PERFUMING,Active,,ban substances that deplete the ozone layer
THYMOL,티몰,Thymol,DENATURANT;FRAGRANCE;ORAL CARE;SKIN CONDITIONING - MISCELLANEOUS,Active,,
TRIHEPTANOIN,트라이헵타노인,Triheptanoin,VISCOSITY CONTROLLING;SKIN CONDITIONING - OCCLUSIVE,Active,,ban substances that deplete the ozone layer
TRIHYDROXYSTEARIN,트라이하이드록시스테아린,Trihydroxystearin,SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,
TRIFLUOROPROPYL CYCLOTETRASILOXANE,트라이플루오로프로필사이클로테트라실록세인,Trifluoropropyl Cyclotetrasiloxane,HAIR CONDITIONING;SKIN CONDITIONING,Active,,
TRIPHENYL PHOSPHATE,트라이페닐포스페이트,Triphenyl Phosphate,PLASTICISER,Active,,
TRIPALMITIN,트라이팔미틴,Tripalmitin,SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,
TRICLOSAN,트리클로산,Triclosan,ANTIMICROBIAL;DEODORANT;PRESERVATIVE,Active,V/25,ban substances that deplete the ozone layer
TRICALCIUM PHOSPHATE,트라이칼슘포스페이트,Tricalcium Phosphate,ABRASIVE;ANTICAKING;FRAGRANCE;OPACIFYING;ORAL CARE,Active,,
TRICAPRYLYL/CAPRYL TRIMELLITATE,트라이카프릴릴/카프릴트라이멜리테이트,Tricaprylyl/Capryl Trimellitate,SKIN CONDITIONING - EMOLLIENT;PLASTICISER;SKIN CONDITIONING,Active,,
TRICAPRYLIN,트라이카프릴린,Tricaprylin,FRAGRANCE;SKIN CONDITIONING;PERFUMING,Active,,ban substances that deplete the ozone layer
TRICAPRIN,트라이카프린,Tricaprin,FRAGRANCE;SKIN CONDITIONING;PERFUMING,Active,,ban substances that deplete the ozone layer
TRIISOPROPANOLAMINE,트라이아이소프로판올아민,Triisopropanolamine,BUFFERING,Active,III/62,ban substances that deplete the ozone layer
TRIISOPALMITIN,트라이아이소팔미틴,Triisopalmitin,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,
TRIISOSTEARYL CITRATE,트라이아이소스테아릴시트레이트,Triisostearyl Citrate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
TRIISOSTEARIN,트라이아이소스테아린,Triisostearin,SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
TRIISOCETYL CITRATE,트라이아이소세틸시트레이트,Triisocetyl Citrate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
TRIUNDECANOIN,트라이운데카노인,Triundecanoin,HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
TRIOLEYL PHOSPHATE,트라이올레일포스페이트,Trioleyl Phosphate,SKIN CONDITIONING - EMOLLIENT;PLASTICISER;SKIN CONDITIONING,Active,,
TRIETHYLHEXYL TRIMELLITATE,트라이옥틸트라이멜리테이트,Trioctyl Trimellitate,SKIN CONDITIONING - EMOLLIENT;PLASTICISER;SKIN CONDITIONING,Active,,
TRIOCTYLDODECYL CITRATE,트라이옥틸도데실시트레이트,Trioctyldodecyl Citrate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
TRIETHOXYCAPRYLYLSILANE,트라이에톡시카프릴릴실레인,Triethoxycaprylylsilane,BINDING,Active,,
TRIETHANOLAMINE,트라이에탄올아민,Triethanolamine,BUFFERING;SURFACTANT - EMULSIFYING;FRAGRANCE;SURFACTANT - CLEANSING,Active,III/62,
TRIETHYLHEXYL CITRATE,트라이에틸헥실시트레이트,Triethylhexyl Citrate,SKIN CONDITIONING - EMOLLIENT;PLASTICISER;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
TRIETHYLHEXANOIN,트라이에틸헥사노인,Triethylhexanoin,HAIR CONDITIONING;FRAGRANCE;SKIN CONDITIONING;PERFUMING,Active,,
TRIETHYL CITRATE,트라이에틸시트레이트,Triethyl Citrate,FRAGRANCE;PLASTICISER;SOLVENT;VISCOSITY CONTROLLING;PERFUMING;DEODORANT,Active,,
TRIACETIN,트라이아세틴,Triacetin,ANTIMICROBIAL;FILM FORMING;FRAGRANCE;PLASTICISER;SOLVENT,Active,,
TRISILOXANE,트라이실록세인,Trisiloxane,ANTIFOAMING;SKIN CONDITIONING - MISCELLANEOUS,Active,,
TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE,트리스(테트라메틸하이드록시피페리딘올)시트레이트,Tris(Tetramethylhydroxypiperidinol) Citrate,UV ABSORBER,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
TRISTEARIN,트라이스테아린,Tristearin,SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,
TRISODIUM FRUCTOSE DIPHOSPHATE,트라이소듐프룩토오스다이포스페이트,Trisodium Fructose Diphosphate,ANTIOXIDANT;CHELATING,Active,,
TRISODIUM PHOSPHATE,트라이소듐포스페이트,Trisodium Phosphate,BUFFERING;CHELATING,Active,,
TRISODIUM EDTA,트라이소듐이디티에이,Trisodium EDTA,CHELATING,Active,,
TRICETEARETH-4 PHOSPHATE,트라이세테아레스-4포스페이트,Triceteareth-4 Phosphate,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
TRIBUTYL CITRATE,트라이부틸시트레이트,Tributyl Citrate,FILM FORMING;PLASTICISER;SOLVENT,Active,,
TRIBEHENIN,트라이베헤닌,Tribehenin,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
TRIMYRISTIN,트라이미리스틴,Trimyristin,SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
TRIMETHOXYCAPRYLYLSILANE,트라이메톡시카프릴릴실레인,Trimethoxycaprylylsilane,BINDING;SMOOTHING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
TRIMETHOXYSILYL DIMETHICONE,트라이메톡시실릴다이메티콘,Trimethoxysilyl Dimethicone,SKIN CONDITIONING,Active,,
TRIMETHYL HYDROXYPENTYL ISOBUTYRATE,트라이메틸하이드록시펜틸아이소부티레이트,Trimethyl Hydroxypentyl Isobutyrate,PLASTICISER,Active,,ban substances that deplete the ozone layer
TRIMETHYLPENTANEDIYL DIBENZOATE,트라이메틸펜탄다이일다이벤조에이트,Trimethylpentanediyl Dibenzoate,PLASTICISER,Active,,
TRIMETHYLPENTANEDIOL/ADIPIC ACID COPOLYMER,트라이메틸펜탄다이올/아디픽애씨드코폴리머,Trimethylpentanediol/Adipic Acid Copolymer,SKIN CONDITIONING,Active,,
TRIMETHYL PENTANYL DIISOBUTYRATE,트라이메틸펜타닐다이아이소부티레이트,Trimethyl Pentanyl Diisobutyrate,PLASTICISER,Active,,
TRIMETHYLOLPROPANE TRIISOSTEARATE,트라이메틸올프로판트라이아이소스테아레이트,Trimethylolpropane Triisostearate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
TRIMETHYLOLPROPANE TRIETHYLHEXANOATE,트라이메틸올프로판트라이에틸헥사노에이트,Trimethylolpropane Triethylhexanoate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
TRIMETHYLSILYL TRIMETHYLSILOXY SALICYLATE,트라이메틸실릴트라이메틸실록시살리실레이트,Trimethylsilyl Trimethylsiloxy Salicylate,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
TRIMETHYLSILYL TRIMETHYLSILOXY LACTATE,트라이메틸실릴트라이메틸실록시락테이트,Trimethylsilyl Trimethylsiloxy Lactate,SKIN CONDITIONING,Active,,
TRIMETHYLSILYL TRIMETHYLSILOXY GLYCOLATE,트라이메틸실릴트라이메틸실록시글라이콜레이트,Trimethylsilyl Trimethylsiloxy Glycolate,SKIN CONDITIONING,Active,,
TRIMETHYLSILOXYPHENYL DIMETHICONE,트라이메틸실록시페닐다이메티콘,Trimethylsiloxyphenyl Dimethicone,HAIR CONDITIONING,Active,,
TRILAURIN,트라이라우린,Trilaurin,SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,
TRIDECYL TRIMELLITATE,트라이데실트라이멜리테이트,Tridecyl Trimellitate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
TRIDECYL ISONONANOATE,트라이데실하이소노나노에이트,Tridecyl Isononanoate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
TRIDECYL STEARATE,트라이데실스테아레이트,Tridecyl Stearate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
TRIDECYL SALICYLATE,트라이데실살리실레이트,Tridecyl Salicylate,ANTISTATIC;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
BAMBUSA VULGARIS EXTRACT,밤부사 불가리스잎/줄기추출물,Bambusa Vulgaris Leaf/Stem Extract,SKIN CONDITIONING,Active,,
TRIDECETH-2 CARBOXAMIDE MEA,트라이데세스-2카복사마이드엠이에이,Trideceth-2 Carboxamide MEA,SURFACTANT - FOAM BOOSTING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
C10-18 TRIGLYCERIDES,C10-18트라이글리세라이즈,C10-18 Triglycerides,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;SOLVENT,Active,,ban substances that deplete the ozone layer
TROMETHAMINE,트로메타민,Tromethamine,BUFFERING;FRAGRANCE,Active,III/61,
ASTRAGALUS GUMMIFER GUM,트래거캔스검,Astragalus Gummifer Gum,BINDING;EMULSION STABILISING;FILM FORMING;FRAGRANCE;VISCOSITY CONTROLLING,Active,,
LIRIODENDRON TULIPIFERA LEAF WAX,백합나무잎왁스,Liriodendron Tulipifera Leaf Wax,SKIN CONDITIONING - EMOLLIENT,Active,,
TEUPOLIOSIDE,튜폴리오사이드,Teupolioside,ANTIOXIDANT;BLEACHING;CHELATING;SKIN PROTECTING,Active,,
TALL OIL GLYCERIDES,톨오일글리세라이즈,Tall Oil Glycerides,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
TOLUENE,톨루엔,Toluene,ANTIOXIDANT;SOLVENT,Active,III/185,
TOPAZ,토파즈,Topaz,ABRASIVE,Active,,
TOTAROL,토타롤,Totarol,ANTIOXIDANT;DEODORANT;ORAL CARE,Active,,
SWERTIA JAPONICA EXTRACT,쓴풀추출물,Swertia Japonica Extract,SKIN CONDITIONING,Active,,
TOCOPHERYL LINOLEATE,토코페릴리놀리에이트,Tocopheryl Linoleate,ANTIOXIDANT;SKIN CONDITIONING;SKIN PROTECTING,Active,,
TOCOPHERYL RETINOATE,토코페릴레티노에이트,Tocopheryl Retinoate,ANTIOXIDANT;SKIN CONDITIONING - EMOLLIENT;HUMECTANT;SKIN CONDITIONING,Active,,
TOURMALINE,토르말린,Tourmaline,VISCOSITY CONTROLLING,Active,,
TEPRENONE,테프레논,Teprenone,SKIN CONDITIONING,Active,,
TETRAHYDROXYPROPYL ETHYLENEDIAMINE,테트라하이드록시프로필에틸렌다이아민,Tetrahydroxypropyl Ethylenediamine,CHELATING,Active,,
TETRAPOTASSIUM PYROPHOSPHATE,테트라포타슘파이로포스페이트,Tetrapotassium Pyrophosphate,BUFFERING;CHELATING;ORAL CARE,Active,,
TETRAPOTASSIUM ETIDRONATE,테트라포타슘에티드로네이트,Tetrapotassium Etidronate,CHELATING,Active,III/53,
TETRASODIUM PYROPHOSPHATE,테트라소듐파이로포스페이트,Tetrasodium Pyrophosphate,ANTICAKING;BUFFERING;CHELATING;ORAL CARE,Active,,ban substances that deplete the ozone layer
TETRASODIUM EDTA,테트라소듐이디티에이,Tetrasodium EDTA,CHELATING,Active,,ban substances that deplete the ozone layer
TETRASODIUM ETIDRONATE,테트라소듐에티드로네이트,Tetrasodium Etidronate,CHELATING;EMULSION STABILISING;VISCOSITY CONTROLLING,Active,III/53,
THEANINE,테아닌,Theanine,SKIN CONDITIONING - EMOLLIENT;HUMECTANT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
TERMINALIA BELLERICA FRUIT,테르미날리아 벨레리카열매수,Terminalia Bellerica Fruit Water,ASTRINGENT;SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
GARCINIA CAMBOGIA FRUIT EXTRACT,가르시니아열매추출물,Garcinia Cambogia Fruit Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
LYTHRUM SALICARIA EXTRACT,털부처꽃추출물,Lythrum Salicaria Extract,ASTRINGENT,Active,,ban substances that deplete the ozone layer
4-TERPINEOL,4-터피네올,4-Terpineol,FRAGRANCE,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
TALC,탤크,Talc,ABRASIVE;ABSORBENT;ANTICAKING;BULKING;OPACIFYING;SKIN PROTECTING;SLIP MODIFIER,Active,III/59,ban substances that deplete the ozone layer
TALLOWTRIMONIUM CHLORIDE,탈로우트라이모늄클로라이드,Tallowtrimonium Chloride,ANTISTATIC;HAIR CONDITIONING;PRESERVATIVE;SURFACTANT - CLEANSING,Active,V/44,ban substances that deplete the ozone layer
TALLOWDIMONIUM PROPYLTRIMONIUM DICHLORIDE,탈로우다이모늄프로필트라이모늄다이클로라이드,Tallowdimonium Propyltrimonium Dichloride,ANTISTATIC;SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
TALLOW GLYCERIDES,탈로우글리세라이즈,Tallow Glycerides,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;SKIN CONDITIONING,Active,,
TANNIC ACID,탄닉애씨드,Tannic Acid,ASTRINGENT;FRAGRANCE,Active,,
TAURINE,타우린,Taurine,BUFFERING,Active,,
TAMARINDUS INDICA SEED POLYSACCHARIDE,타마린드씨검,Tamarindus Indica Seed Gum,SKIN CONDITIONING,Active,,
CHITIN,키틴,Chitin,ABRASIVE;BULKING,Active,,ban substances that deplete the ozone layer
ACTINIDIA CHINENSIS FRUIT,키위추출물,Actinidia Chinensis (Kiwi) Fruit Extract,HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CLIMBAZOLE,클림바졸,Climbazole,ANTI-SEBORRHEIC;ANTIMICROBIAL;PRESERVATIVE,Active,V/32 and III/310,
CHLORHEXIDINE DIHYDROCHLORIDE,클로헥시딘다이하이드로클로라이드,Chlorhexidine Dihydrochloride,ANTIMICROBIAL;ORAL CARE;PRESERVATIVE,Active,V/42,ban substances that deplete the ozone layer
CHLORHEXIDINE DIGLUCONATE,클로헥시딘다이글루코네이트,Chlorhexidine Digluconate,ANTIMICROBIAL;ORAL CARE;PRESERVATIVE,Active,V/42,ban substances that deplete the ozone layer
CHLORPHENESIN,클로페네신,Chlorphenesin,ANTIMICROBIAL;PRESERVATIVE,Active,V/50,
EUGENIA CARYOPHYLLUS FLOWER BUD POWDER,클로브꽃추출물,Eugenia Caryophyllus (Clove) Flower Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
CHLOROPHYLLIN-COPPER COMPLEX,클로로필린-카퍼컴플렉스,Chlorophyllin-Copper Complex,ANTIOXIDANT;COLORANT;DEODORANT,Active,,
CHLOROBUTANOL,클로로부탄올,Chlorobutanol,PRESERVATIVE,Active,V/11,
TERMINALIA SERICEA BARK/ROOT EXTRACT,클러스터리프나무껍질/뿌리추출물,Terminalia Sericea Bark/Root Extract,ASTRINGENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CHIMAPHILA UMBELLATA LEAF EXTRACT,큰매화노루발잎추출물,Chimaphila Umbellata Leaf Extract,SKIN CONDITIONING,Active,,
LEPIDIUM SATIVUM SPROUT EXTRACT,큰다닥냉이싹추출물,Lepidium Sativum Sprout Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
XANTHOPHYLLS,크산토필,Xanthophylls,SKIN CONDITIONING,Active,,
CHRYSIN,크리신,Chrysin,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CROTONIC ACID,크로토닉애씨드,Crotonic Acid,FRAGRANCE;LIGHT STABILIZER,Active,,
CI 77288,크로뮴옥사이드그린,Chromium Oxide Greens,COLORANT,Active,IV/129,
QUATERNIUM-90 BENTONITE,쿼터늄-90벤토나이트,Quaternium-90 Bentonite,VISCOSITY CONTROLLING,Active,,
QUATERNIUM-80,쿼터늄-80,Quaternium-80,ANTISTATIC;HAIR CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
QUATERNIUM-73,쿼터늄-73,Quaternium-73,ANTISTATIC,Active,,
QUATERNIUM-70,쿼터늄-70,Quaternium-70,ANTISTATIC;HAIR CONDITIONING,Active,,ban substances that deplete the ozone layer
QUATERNIUM-52,쿼터늄-52,Quaternium-52,ANTISTATIC;HAIR CONDITIONING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
QUATERNIUM-51,쿼터늄-51,Quaternium-51,ANTISTATIC,Active,,ban substances that deplete the ozone layer
QUATERNIUM-45,쿼터늄-45,Quaternium-45,ANTISTATIC,Active,,ban substances that deplete the ozone layer
QUATERNIUM-24,쿼터늄-24,Quaternium-24,ANTIMICROBIAL;ANTISTATIC;SURFACTANT - CLEANSING,Active,,
QUATERNIUM-18,쿼터늄-18,Quaternium-18,ANTISTATIC;HAIR CONDITIONING;SURFACTANT - CLEANSING,Active,,
QUERCETIN,쿼세틴,Quercetin,ANTIOXIDANT;SKIN CONDITIONING - MISCELLANEOUS,Active,,
ALEURITES MOLUCCANUS SEED OIL,쿠쿠이나무씨오일,Aleurites Moluccanus Seed Oil,SKIN CONDITIONING,Active,,
COUMARIN,쿠마린,Coumarin,PERFUMING,Active,III/77,
NICOTIANA TABACUM FLOWER EXTRACT,담배잎추출물,Nicotiana Tabacum (Tobacco) Leaf Extract,PERFUMING,Active,,
GLYCINE SOJA OIL UNSAPONIFIABLES,돌콩오일불검화물,Glycine Soja (Soybean) Oil Unsaponifiables,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
GLYCINE SOJA OIL,돌콩오일,Glycine Soja (Soybean) Oil,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;PERFUMING,Active,,ban substances that deplete the ozone layer
SOYBEAN GLYCERIDES,콩글리세라이즈,Soybean Glycerides,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
GLYCINE SOJA FLOUR,돌콩씨가루,Glycine Soja (Soybean) Seed Powder,SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;MOISTURISING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
COLOSTRUM,초유,Colostrum,SKIN CONDITIONING;SKIN PROTECTING,Active,"Please consider whether entry 419 of Annex II to the Cosmetics Regulation 1223/2009 is applicable. According to entry 419, category 1 material and Category 2 material as defined in Articles 4 and 5 respectively of Regulation (EC) No 1774/2002, and ingredients derived therefrom are prohibited in cosmetics products. Regulation (EC) No 1774/2002 has been repealed and replaced by Regulation No. 1069/2009. For Category 1 and 2 materials in Regulation No. 1069/2009, please see Article 8 and 9, respectively.",
COLLODION,콜로다이온,Collodion,BINDING;FILM FORMING,Active,,
CHOLESTERYL HYDROXYSTEARATE,콜레스테릴하이드록시스테아레이트,Cholesteryl Hydroxystearate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
CHOLESTERYL CHLORIDE,콜레스테릴클로라이드,Cholesteryl Chloride,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CHOLESTERYL ISOSTEARATE,콜레스테릴아이소스테아레이트,Cholesteryl Isostearate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
CHOLESTERYL OLEATE,콜레스테릴올리에이트,Cholesteryl Oleate,SKIN CONDITIONING,Active,,
CHOLESTERYL OLEYL CARBONATE,콜레스테릴올레일카보네이트,Cholesteryl Oleyl Carbonate,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
CHOLESTERYL STEARATE,콜레스테릴스테아레이트,Cholesteryl Stearate,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,
CHOLESTERYL SUCCINATE,콜레스테릴석시네이트,Cholesteryl Succinate,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
CHOLESTERYL DICHLOROBENZOATE,콜레스테릴다이클로로벤조에이트,Cholesteryl Dichlorobenzoate,SKIN CONDITIONING,Active,,
CHOLESTERYL NONANOATE,콜레스테릴노나노에이트,Cholesteryl Nonanoate,SKIN CONDITIONING - EMOLLIENT,Active,,ban substances that deplete the ozone layer
CHOLESTEROL,콜레스테롤,Cholesterol,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;SKIN CONDITIONING;LIGHT STABILIZER;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
COLA ACUMINATA SEED EXTRACT,콜라나무씨추출물,Cola Acuminata Seed Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
ECHINACEA PALLIDA EXTRACT,페일플라워에키네시아추출물,Echinacea Pallida Extract,MOISTURISING;SKIN CONDITIONING;TONIC,Active,,
THEOBROMA GRANDIFLORUM SEED BUTTER,쿠푸아수씨버터,Theobroma Grandiflorum Seed Butter,SKIN CONDITIONING,Active,,
COCOYL HYDROLYZED COLLAGEN,코코일하이드롤라이즈드콜라겐,Cocoyl Hydrolyzed Collagen,ANTISTATIC;CLEANSING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,,
COCOYL HYDROXYETHYL IMIDAZOLINE,코코일하이드록시에틸이미다졸린,Cocoyl Hydroxyethyl Imidazoline,ANTISTATIC;HAIR CONDITIONING;SURFACTANT - CLEANSING,Active,,
COCOYL SARCOSINE,코코일사코신,Cocoyl Sarcosine,CLEANSING;HAIR CONDITIONING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
COCO-BETAINE,코코-베타인,Coco-Betaine,ANTISTATIC;CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
COCODIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN,코코다이모늄하이드록시프로필하이드롤라이즈드밀단백질,Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein,ANTISTATIC;CLEANSING;HAIR CONDITIONING;SKIN CONDITIONING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
COCONUT ACID,코코넛애씨드,Coconut Acid,CLEANSING;SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,,
COCONUT ALCOHOL,코코넛알코올,Coconut Alcohol,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING;EMULSION STABILISING;SURFACTANT - FOAM BOOSTING;LIGHT STABILIZER;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
COCAMINE OXIDE,코카민옥사이드,Cocamine Oxide,ANTISTATIC;CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SURFACTANT - HYDROTROPE;SURFACTANT - CLEANSING,Active,,
COCAMIDOPROPYLAMINE OXIDE,코카미도프로필아민옥사이드,Cocamidopropylamine Oxide,CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SURFACTANT - HYDROTROPE;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
COCAMIDOPROPYL BETAINAMIDE MEA CHLORIDE,코카미도프로필베타인아마이드엠이에이클로라이드,Cocamidopropyl Betainamide MEA Chloride,CLEANSING;SURFACTANT - FOAM BOOSTING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
COCAMIDOPROPYL DIMETHYLAMINE,코카미도프로필다이메틸아민,Cocamidopropyl Dimethylamine,ANTISTATIC;SURFACTANT - EMULSIFYING;HAIR CONDITIONING;SURFACTANT - CLEANSING,Active,,
COCAMIDE MEA,코카마이드엠이에이,Cocamide MEA,SURFACTANT - FOAM BOOSTING;VISCOSITY CONTROLLING,Active,,
COCONUT OIL MIPA AMIDES,코카마이드미파,Cocamide MIPA,VISCOSITY CONTROLLING,Active,,
KOJIC ACID,코직애씨드,Kojic Acid,ANTIOXIDANT;BLEACHING,Active,III / 375,
