inci_name,kor_name,eng_name,cosing_functions,status,cosmetic_restriction,other_restrictions
STEWARTIA KOREANA LEAF EXTRACT,노각나무잎추출물,Stewartia Koreana Leaf Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
MELALEUCA LEUCADENDRON CAJAPUT FRUIT EXTRACT,카제푸트열매추출물,Melaleuca Leucadendron Cajaput Fruit Extract,SKIN CONDITIONING,Active,,
ETHYL LINOLENATE,에틸리놀리네이트,Ethyl Linolenate,SKIN CONDITIONING - EMOLLIENT,Active,,
POTASSIUM DNA,포타슘디엔에이,Potassium DNA,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
DINONOXYNOL-4 PHOSPHATE,다이노녹시놀-4포스페이트,Dinonoxynol-4 Phosphate,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,,
TOCOTRIENOLS,토코트라이엔올,Tocotrienols,ORAL CARE;SKIN CONDITIONING;UV ABSORBER,Active,,
HYDROXYETHYL ACRYLATE/METHOXYETHYL ACRYLATE COPOLYMER,하이드록시에틸아크릴레이트/메톡시에틸아크릴레이트코폴리머,Hydroxyethyl Acrylate/Methoxyethyl Acrylate Copolymer,FILM FORMING,Active,,
HYDROLYZED RYE PHYTOPLACENTA EXTRACT,하이드롤라이즈드호밀피토플라센타추출물,Hydrolyzed Rye Phytoplacenta Extract,SKIN CONDITIONING,Active,,
LACTOBACILLUS/SOYBEAN FERMENT EXTRACT,락토바실러스/콩발효추출물,Lactobacillus/Soybean Ferment Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
ARTEMISIA MONGOLIA LEAF EXTRACT,요모기잎추출물,Artemisia Mongolia Leaf Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
MYRCIARIA DUBIA SEED EXTRACT,까무까무씨추출물,Myrciaria Dubia Seed Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
HYDROLYZED ROYAL JELLY PROTEIN,하이드롤라이즈드로얄젤리단백질,Hydrolyzed Royal Jelly Protein,SKIN CONDITIONING,Active,,
HYDROLYZED HYALURONIC ACID,하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,HAIR CONDITIONING;HUMECTANT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
HYPERICUM ERECTUM EXTRACT,고추나물추출물,Hypericum Erectum Extract,SKIN CONDITIONING,Active,,
LITHIUM COBALT TITANATE,리튬코발트티타네이트,Lithium Cobalt Titanate,COLORANT,Active,,
AMYRIS BALSAMIFERA BARK OIL,발삼아미리스껍질오일,Amyris Balsamifera Bark Oil,FRAGRANCE;PERFUMING,Active,,
BRASSICA OLERACEA ACEPHALA LEAF EXTRACT,케일잎추출물,Brassica Oleracea Acephala Leaf Extract,HUMECTANT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
SODIUM POLYGAMMA-GLUTAMATE,소듐폴리감마-글루타메이트,Sodium Polygamma-Glutamate,EMULSION STABILISING;HAIR FIXING;VISCOSITY CONTROLLING,Active,,
SEA WHIP EXTRACT,채찍산호추출물,Sea Whip Extract,SKIN CONDITIONING,Active,,
SILYBUM MARIANUM FRUIT EXTRACT,흰무늬엉겅퀴열매추출물,Silybum Marianum Fruit Extract,SKIN CONDITIONING,Active,,
PALMITOYL TRIPEPTIDE-8,팔미토일트라이펩타이드-8,Palmitoyl Tripeptide-8,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
LACTOBACILLUS/ANGELICA GIGAS ROOT EXTRACT/PANAX GINSENG ROOT EXTRACT/RUBUS COREANUS FRUIT EXTRACT/SCHISANDRA CHINENSIS FRUIT EXTRACT FERMENT FILTRATE,락토바실러스/참당귀뿌리추출물/인삼뿌리추출물/복분자딸기열매추출물/오미자열매추출물발효여과물,Lactobacillus/Angelica Gigas Root Extract/Panax Ginseng Root Extract/Rubus Coreanus Fruit Extract/Schisandra Chinensis Fruit Extract Ferment Filtrate,SKIN CONDITIONING,Active,,
LACTOBACILLUS/PORTULACA OLERACEA FERMENT EXTRACT,락토바실러스/쇠비름발효추출물,Lactobacillus/Portulaca Oleracea Ferment Extract,ANTIOXIDANT;SKIN CONDITIONING,Active,,
LACTOBACILLUS/WATERMELON FRUIT FERMENT EXTRACT,락토바실러스/수박발효추출물,Lactobacillus/Watermelon Fruit Ferment Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
LACTOBACILLUS/TOMATO FRUIT FERMENT EXTRACT,락토바실러스/토마토발효추출물,Lactobacillus/Tomato Fruit Ferment Extract,HAIR CONDITIONING;SKIN CONDITIONING,Active,,
LACTOBACILLUS/PAPAYA FRUIT FERMENT EXTRACT,락토바실러스/파파야열매발효추출물,Lactobacillus/Papaya Fruit Ferment Extract,ABRASIVE;HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
LACTOBACILLUS/LEMON PEEL FERMENT EXTRACT,락토바실러스/레몬껍질발효추출물,Lactobacillus/Lemon Peel Ferment Extract,HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
ALPINIA OXYPHYLLA SEED EXTRACT,익지씨추출물,Alpinia Oxyphylla Seed Extract,SKIN CONDITIONING,Active,,
POTASSIUM CARBOMER,포타슘카보머,Potassium Carbomer,EMULSION STABILISING;FILM FORMING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
POTASSIUM ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,포타슘아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,Potassium Acrylates/C10-30 Alkyl Acrylate Crosspolymer,FILM FORMING,Active,,
ACHYRANTHES JAPONICA EXTRACT,쇠무릎추출물,Achyranthes Japonica Extract,SKIN CONDITIONING,Active,,
DENDROBIUM NOBILE EXTRACT,금채석곡추출물,Dendrobium Nobile Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
PINUS BUNGEANA LEAF EXTRACT,백송잎추출물,Pinus Bungeana Leaf Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
ALLIUM TUBEROSUM SEED EXTRACT,부추씨추출물,Allium Tuberosum Seed Extract,SKIN CONDITIONING,Active,,
GLYCERETH-7 HYDROXYSTEARATE/IPDI COPOLYMER,글리세레스-7하이드록시스테아레이트/아이피디아이코폴리머,Glycereth-7 Hydroxystearate/IPDI Copolymer,FILM FORMING,Active,,ban substances that deplete the ozone layer
BACILLUS/CORCHORUS OLITORIUS LEAF FERMENT FILTRATE,바실러스/몰로키아잎발효여과물,Bacillus/Corchorus Olitorius Leaf Ferment Filtrate,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
LACTOBACILLUS/PUERARIA MIRIFICA ROOT FERMENT FILTRATE,락토바실러스/타이칡뿌리발효여과물,Lactobacillus/Pueraria Mirifica Root Ferment Filtrate,SKIN CONDITIONING,Active,,
ASPERGILLUS/SACCHAROMYCES/PUMPKIN SEED FERMENT FILTRATE,아스퍼질러스/효모/호박씨발효여과물,Aspergillus/Saccharomyces/Pumpkin Seed Ferment Filtrate,SKIN CONDITIONING,Active,,
ASPERGILLUS/SACCHAROMYCES/GASTRODIA ELATA ROOT EXTRACT FERMENT FILTRATE,아스퍼질러스/효모/천마뿌리추출물발효여과물,Aspergillus/Saccharomyces/Gastrodia Elata Root Extract Ferment Filtrate,SKIN CONDITIONING,Active,,
ASPERGILLUS/SACCHAROMYCES/GLYCYRRHIZA URALENSIS ROOT EXTRACT FERMENT FILTRATE,아스퍼질러스/효모/감초추출물발효여과물,Aspergillus/Saccharomyces/Glycyrrhiza Uralensis Root Extract Ferment Filtrate,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
PUNICA GRANATUM SEED POWDER,석류씨가루,Punica Granatum Seed Powder,ABRASIVE,Active,,
HYDROGEN DIMETHICONE/OCTYL SILSESQUIOXANE COPOLYMER,하이드로젠다이메티콘/옥틸실세스퀴옥세인코폴리머,Hydrogen Dimethicone/Octyl Silsesquioxane Copolymer,BINDING,Active,,
ASTRAGALUS MEMBRANACEUS ROOT POWDER,황기뿌리가루,Astragalus Membranaceus Root Powder,ABRASIVE;FRAGRANCE;SKIN PROTECTING,Active,,ban substances that deplete the ozone layer
PPG-3 CAPRYLYL ETHER,피피지-3카프릴릴에터,PPG-3 Caprylyl Ether,SURFACTANT - FOAM BOOSTING;SOLVENT,Active,,
TRIDECETH-2,트라이데세스-2,Trideceth-2,SURFACTANT - EMULSIFYING,Active,,ban substances that deplete the ozone layer
RHUS VERNICIFLUA PEEL WAX,옻나무껍질왁스,Rhus Verniciflua Peel Wax,NOT REPORTED,Active,,
LESPEDEZA BICOLOR BARK EXTRACT,싸리나무껍질추출물,Lespedeza Bicolor Bark Extract,SKIN CONDITIONING,Active,,
ACETYL TETRAPEPTIDE-3,아세틸테트라펩타이드-3,Acetyl Tetrapeptide-3,SKIN PROTECTING,Active,,ban substances that deplete the ozone layer
CETEARETH-17,세테아레스-17,Ceteareth-17,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
DILINOLEIC ACID/BUTANEDIOL COPOLYMER,다이리놀레익애씨드/부테인다이올코폴리머,Dilinoleic Acid/Butanediol Copolymer,FILM FORMING;PLASTICISER,Active,,
APHLOIA THEIFORMIS LEAF EXTRACT,무다난다잎추출물,Aphloia Theiformis Leaf Extract,ASTRINGENT;SKIN PROTECTING,Active,,ban substances that deplete the ozone layer
ANDROGRAPHIS PANICULATA LEAF EXTRACT,칼메그잎추출물,Andrographis Paniculata Leaf Extract,ASTRINGENT;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
AMORPHOPHALLUS KONJAC ROOT EXTRACT,곤약뿌리추출물,Amorphophallus Konjac Root Extract,FILM FORMING;HUMECTANT,Active,,
AQUILARIA AGALLOCHA STEM EXTRACT,침향나무줄기추출물,Aquilaria Agallocha Stem Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
TILIA PLATYPHYLLOS EXTRACT,큰잎라임추출물,Tilia Platyphyllos Extract,SKIN CONDITIONING;SOOTHING,Active,,
ACACIA DEALBATA FLOWER WAX,미모사아카시아꽃왁스,Acacia Dealbata Flower Wax,SKIN CONDITIONING - EMOLLIENT;SKIN CONDITIONING,Active,,
CHLORELLA FERMENT,클로렐라발효물,Chlorella Ferment,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
THYMUS MASTICHINA FLOWER OIL,매스틱타임꽃오일,Thymus Mastichina Flower Oil,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
GLEDITSIA JAPONICA FRUIT EXTRACT,주엽나무열매추출물,Gleditsia Japonica Fruit Extract,SKIN CONDITIONING,Active,,
TRICHOSANTHES KIRILOWII FRUIT EXTRACT,하늘타리열매추출물,Trichosanthes Kirilowii Fruit Extract,SKIN CONDITIONING,Active,,
LACTOBACILLUS/GRAPE JUICE FERMENT FILTRATE,락토바실러스/포도즙발효여과물,Lactobacillus/Grape Juice Ferment Filtrate,SKIN CONDITIONING,Active,,
LACTOBACILLUS/PUNICA GRANATUM FRUIT FERMENT EXTRACT,락토바실러스/석류발효추출물,Lactobacillus/Punica Granatum Fruit Ferment Extract,HAIR CONDITIONING;SKIN CONDITIONING,Active,,
MEADOWFOAM ESTOLIDE,메도우폼에스톨라이드,Meadowfoam Estolide,HAIR CONDITIONING;SKIN CONDITIONING,Active,,
ARNICA CHAMISSONIS FLOWER EXTRACT,카미소니스아르니카꽃추출물,Arnica Chamissonis Flower Extract,FRAGRANCE;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer | ban substances that deplete the ozone layer
RHIZOBIAN GUM,라이조비안검,Rhizobian Gum,FILM FORMING;HAIR FIXING;PLASTICISER;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
DISODIUM ETHYLENE DICOCAMIDE PEG-15 DISULFATE,다이소듐에틸렌다이코카마이드피이지-15다이설페이트,Disodium Ethylene Dicocamide PEG-15 Disulfate,CLEANSING;SURFACTANT - FOAM BOOSTING;HAIR CONDITIONING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
PAEONIA OFFICINALIS ROOT EXTRACT,약작약뿌리추출물,Paeonia Officinalis Root Extract,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
HYDROGENATED RICE BRAN WAX,하이드로제네이티드쌀겨왁스,Hydrogenated Rice Bran Wax,BINDING;SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
HYDROLYZED PECTIN,하이드롤라이즈드펙틴,Hydrolyzed Pectin,SKIN CONDITIONING,Active,,
PEG-30 GLYCERYL LAURATE,피이지-30글리세릴라우레이트,PEG-30 Glyceryl Laurate,SURFACTANT - EMULSIFYING;SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer
POLYURETHANE-2,폴리우레탄-2,Polyurethane-2,FILM FORMING,Active,,
ROSA MOSCHATA OIL,사향장미오일,Rosa Moschata Oil,ASTRINGENT;SKIN CONDITIONING - EMOLLIENT;FRAGRANCE;TONIC,Active,III/366,
BETULA ALBA BARK POWDER,만주자작나무껍질가루,Betula Alba Bark Powder,EXFOLIATING,Active,,
GOAT MILK EXTRACT,염소유추출물,Goat Milk Extract,NOT REPORTED,Active,"Please consider whether entry 419 of Annex II to the Cosmetics Regulation 1223/2009 is applicable. According to entry 419, category 1 material and Category 2 material as defined in Articles 4 and 5 respectively of Regulation (EC) No 1774/2002, and ingredients derived therefrom are prohibited in cosmetics products. Regulation (EC) No 1774/2002 has been repealed and replaced by Regulation No. 1069/2009. For Category 1 and 2 materials in Regulation No. 1069/2009, please see Article 8 and 9, respectively.",
SODIUM STARCH OCTENYLSUCCINATE,소듐스타치옥테닐석시네이트,Sodium Starch Octenylsuccinate,ABSORBENT;EMULSION STABILISING;VISCOSITY CONTROLLING,Active,,
TRIOLEIN,트라이올레인,Triolein,SKIN CONDITIONING;VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer
ACETYL CITRULL AMIDO ARGININE,아세틸시트룰아미도알지닌,Acetyl Citrull Amido Arginine,SKIN PROTECTING,Active,,ban substances that deplete the ozone layer
TRIDECETH-9 PG-AMODIMETHICONE,트라이데세스-9피지-아모다이메티콘,Trideceth-9 PG-Amodimethicone,HAIR CONDITIONING;SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer
